fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,,Counter
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7,11.90.6950.533.40.1287210.99923.170.8412.27,1
11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5,110.20.4820.3436180.99793.30.7110.55,1
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5,110.260.682.550.08510250.9973.180.6111.85,1
11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7,110.30.582.10.0547190.9983.310.8810.57,1
12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,5,12.10.40.5220.092155413.030.6610.25,1
12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6,12.20.340.52.40.066102113.121.189.26,1
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,12.20.450.491.40.075360.99693.130.6310.45,2
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,12.20.450.491.40.075360.99693.130.6310.45,2
12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6,12.20.480.542.60.085196413.10.6110.56,1
12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,6,12.30.270.493.10.07928460.99933.20.810.26,1
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,12.30.390.632.30.0916181.00043.160.499.55,2
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,12.30.390.632.30.0916181.00043.160.499.55,2
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,12.30.50.492.20.0895141.00023.190.449.65,2
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,12.30.50.492.20.0895141.00023.190.449.65,2
12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6,12.40.350.492.60.07927690.99943.120.7510.46,1
12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,6,12.40.40.5120.0596240.99943.040.69.36,1
12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,5,12.40.420.494.60.07319430.99783.020.619.55,1
12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6,12.40.490.5830.10328991.00083.16111.56,1
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7,12.50.280.542.30.08212290.99973.111.369.87,1
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6,12.50.370.552.60.08325680.99953.150.8210.46,1
12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5,12.50.380.62.60.08131720.99963.10.7310.55,1
12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,4,12.50.460.494.50.0726490.99813.050.579.64,1
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5,12.50.460.6320.0716150.99882.990.8710.25,1
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5,12.50.560.492.40.0645270.99993.080.8710.95,1
12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,6,12.50.60.494.30.15141.0013.250.7411.96,1
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8,12.60.310.722.20.0726290.99872.880.829.88,1
12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6,12.60.380.662.60.08810411.0013.170.689.86,1
12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3,6,12.60.390.492.50.088200.99923.070.8210.36,1
12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,6,12.60.410.542.80.10319410.999393.210.7611.36,1
12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6,12.70.590.452.30.0821122130.79.36,1
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5,12.70.60.492.80.0755190.99943.140.5711.45,2
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5,12.70.60.492.80.0755190.99943.140.5711.45,2
12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,5,12.70.60.652.30.0636250.99973.030.579.95,1
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,12.80.30.742.60.0959280.99943.20.7710.87,2
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,12.80.30.742.60.0959280.99943.20.7710.87,2
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,12.80.6150.665.80.0837421.00223.070.73107,2
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,12.80.6150.665.80.0837421.00223.070.73107,2
12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,6,12.80.840.632.40.08813350.99973.10.610.46,1
12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,7,12.90.350.495.80.0665351.00143.20.66127,1
12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6,12.90.50.552.80.0727241.000123.090.6810.96,1
12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,7,120.280.491.90.07410210.99762.980.669.97,1
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7,120.370.764.20.0667381.00043.220.6137,1
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,120.380.562.10.0936240.999253.140.7110.96,1
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7,120.390.6630.09312300.99963.180.6310.87,1
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6,120.450.5520.07325490.99973.10.7610.36,1
12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7,120.50.591.40.07323420.9982.920.6810.57,1
12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,4,120.630.51.40.0716260.997913.070.610.44,1
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5,13.20.380.552.70.0815161.00062.980.549.45,1
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6,13.20.460.522.20.07112351.00063.10.5696,2
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6,13.20.460.522.20.07112351.00063.10.5696,2
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7,13.30.290.752.80.08423430.99863.040.6811.47,1
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6,13.30.340.523.20.09417531.00143.050.819.56,1
13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,5,13.30.430.581.90.0715401.00043.060.4995,1
13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6,13.40.270.622.60.0826211.00023.160.679.76,1
13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5,13.50.530.794.80.1223771.00183.180.77135,1
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6,13.70.4150.682.90.08517431.00143.060.8106,2
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6,13.70.4150.682.90.08517431.00143.060.8106,2
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6,13.80.490.6730.0936150.99863.020.93126,1
13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5,130.320.652.60.09315470.99963.050.6110.65,1
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6,130.470.494.30.0856471.00213.30.6812.76,2
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6,130.470.494.30.0856471.00213.30.6812.76,2
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,6,14.30.310.741.80.0756151.00082.860.798.46,1
14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6,140.410.633.80.0896471.00143.010.8110.86,1
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,15.50.6450.494.20.09510231.003152.920.7411.15,2
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,15.50.6450.494.20.09510231.003152.920.7411.15,2
15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,15.60.6450.494.20.09510231.003152.920.7411.15,1
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7,15.60.6850.763.70.16431.00322.950.6811.27,1
15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5,15.90.360.657.50.09622710.99762.980.8414.95,1
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,150.210.442.20.07510241.000053.070.849.27,2
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,150.210.442.20.07510241.000053.070.849.27,2
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,4.60.520.152.10.0548650.99343.90.5613.14,1
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,4.70.60.172.30.058171060.99323.850.612.96,1
4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7,4.90.4202.10.04816420.991543.710.74147,1
5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7,5.10.4201.80.04418880.991573.680.7313.67,1
5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6,5.10.470.021.30.03418440.99213.90.6212.86,1
5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7,5.10.510.182.10.042161010.99243.460.8712.97,1
5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7,5.10.58501.70.04414860.992643.560.9412.97,1
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,5.20.320.251.80.10313500.99573.380.559.25,1
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,5.20.3401.80.0527630.99163.680.79146,2
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,5.20.3401.80.0527630.99163.680.79146,2
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7,5.20.480.041.60.054191060.99273.540.6212.27,1
5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6,5.20.490.262.30.0923740.99533.710.6212.26,1
5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6,5.20.64502.150.0815280.994443.780.6112.56,1
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.56666667,7,5.30.470.112.20.04816890.991823.540.8813.56666666666677,1
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7,5.30.470.112.20.04816890.991823.540.8813.67,1
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7,5.30.570.011.70.0545270.99343.570.8412.57,1
5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,5,5.30.7150.191.50.1617620.993953.620.61115,1
5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,7,5.40.420.2720.09223550.994713.780.6412.37,1
5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6,5.40.580.081.90.05920310.994843.50.6410.26,1
5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,6,5.40.740.091.70.08916260.994023.670.5611.66,1
5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6,5.40.7401.20.04116460.992584.010.5912.56,1
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7,5.40.8350.081.20.04613930.99243.570.85137,1
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,5.50.490.031.80.04428870.99083.50.82148,1
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,5.60.310.371.40.07412960.99543.320.589.25,1
5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,6,5.60.310.7813.90.07423920.996773.390.4810.56,1
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,5.60.50.092.30.04917990.99373.630.63135,2
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,5.60.50.092.30.04917990.99373.630.63135,2
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,5.60.540.041.70.0495130.99423.720.5811.45,2
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,5.60.540.041.70.0495130.99423.720.5811.45,2
5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,5,5.60.6050.052.40.07319250.992583.560.5512.95,1
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,5.60.61501.60.08916590.99433.580.529.95,1
5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4,5.60.620.031.50.086130.994983.660.6210.14,1
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7,5.60.6602.20.0873110.993783.710.6312.87,2
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7,5.60.6602.20.0873110.993783.710.6312.87,2
5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5,5.60.6602.50.0667150.992563.520.5812.95,1
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8,5.60.850.051.40.04512880.99243.560.8212.98,1
5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5,5.60.91502.10.04117780.993463.680.7311.45,1
5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6,5.70.601.40.06311180.991913.450.5612.26,1
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,5.71.130.091.50.1727190.9943.50.489.84,1
5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6,5.80.290.261.70.0633110.99153.390.5413.56,1
5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6,5.80.610.111.80.06618280.994833.550.6610.96,1
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5,5.80.680.021.80.08721940.99443.540.52105,1
5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6,5.81.010.6620.03915880.993573.660.611.56,1
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5,5.90.190.211.70.045571350.993413.320.449.55,1
5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,6,5.90.290.2513.40.067721600.997213.330.5410.36,1
5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,6,5.90.3950.132.40.05614280.993623.620.6712.46,1
5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6,5.90.4401.60.0423110.99443.480.8511.76,1
5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,5,5.90.4601.90.07725440.993853.50.5311.25,1
5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,6,5.90.550.12.20.06239510.995123.520.7611.26,1
5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6,5.90.610.082.10.07116240.993763.560.7711.16,2
5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6,5.90.610.082.10.07116240.993763.560.7711.16,2
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5,5.90.6450.1220.07532440.995473.570.7110.25,1
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6,50.380.011.60.04826600.990843.70.75146,1
5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6,50.40.54.30.04629800.99023.490.6613.66,1
5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,8,50.420.2420.0619500.99173.720.74148,1
5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6,50.7401.20.04116460.992584.010.5912.56,1
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,51.020.041.40.04541850.99383.750.4810.54,1
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5,51.040.241.60.0532960.99343.740.6211.55,1
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6,6.10.210.41.40.06640.51650.99123.250.5911.96,1
6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,5,6.10.320.251.80.0865320.994643.360.4410.15,1
6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5,6.10.320.252.30.07123580.996333.420.9710.65,2
6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5,6.10.320.252.30.07123580.996333.420.9710.65,2
6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,5,6.10.340.251.80.0844280.994643.360.4410.15,1
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5,6.10.380.151.80.0726190.99553.420.579.45,1
6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,7,6.10.40.161.80.06911250.99553.420.7410.17,1
6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,6,6.10.480.091.70.07818300.994023.450.5411.26,1
6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,6,6.10.530.081.90.07724450.995283.60.6810.36,1
6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,6,6.10.5602.20.079690.99483.590.5411.56,1
6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6,6.10.580.232.50.04416700.993523.460.6512.56,1
6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,5,6.10.590.012.10.0565130.994723.520.5611.45,1
6.1,0.6,0.08,1.8,0.071,14,45,0.99336,3.38,0.54,11,5,6.10.60.081.80.07114450.993363.380.54115,1
6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,5,6.10.640.022.40.06926460.993583.470.45115,1
6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2,5,6.10.7050.12.80.08113280.996313.60.6610.25,1
6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,5,6.10.7150.12.60.05313270.993623.570.511.95,1
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,6.20.360.242.20.09519420.99463.570.5711.76,2
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,6.20.360.242.20.09519420.99463.570.5711.76,2
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7,6.20.390.4320.07114240.994283.450.8711.27,1
6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6,6.20.430.221.80.07821560.996333.520.69.56,1
6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,6,6.20.440.392.50.0776140.995553.510.69116,1
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,6.20.450.21.60.0693150.99583.410.569.25,1
6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,5,6.20.460.171.60.0737110.994253.610.5411.45,1
6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,5,6.20.460.292.10.07432980.995783.330.629.85,1
6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,6,6.20.510.141.90.05615340.993963.480.5711.56,1
6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6,6.20.520.084.40.07111320.996463.560.6311.66,1
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,6.20.560.091.70.05324320.994023.540.611.35,2
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,6.20.560.091.70.05324320.994023.540.611.35,2
6.2,0.57,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,6,6.20.570.12.10.0484110.994483.440.7610.86,1
6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,5,6.20.5801.60.0658180.99663.560.849.45,1
6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5,6.20.60.0820.0932440.99493.450.5810.55,1
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,6.20.630.311.70.08815640.99693.460.799.35,1
6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,5,6.20.640.092.50.08115260.995383.570.63125,1
6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5,6.20.650.061.60.056180.993483.570.5411.955,1
6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9,6,6.20.70.155.10.07613270.996223.540.611.96,1
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4,6.20.78502.10.066130.996643.590.61104,1
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,6.30.30.481.80.06918610.99593.440.7810.36,1
6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,6,6.30.360.193.20.07515390.99563.560.5212.76,1
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5,6.30.390.081.70.0663200.99543.340.589.45,1
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,6.30.390.161.40.0811230.99553.340.569.35,1
6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6,6.30.4701.40.05527330.99223.450.4812.36,1
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6,6.30.510.132.30.07629400.995743.420.75116,2
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6,6.30.510.132.30.07629400.995743.420.75116,2
6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,6,6.30.550.151.80.07726350.993143.320.8211.66,1
6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,5,6.30.570.282.10.04813490.993743.410.612.85,1
6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5,6.30.60.11.60.04812260.993063.550.5112.15,1
6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,6,6.30.680.013.70.10332540.995863.510.6611.36,1
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6,6.30.7602.90.07226520.993793.510.611.56,1
6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2,6,6.30.980.0120.05715330.994883.60.4611.26,1
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4,6.31.02020.08317240.994373.590.5511.24,1
6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,7,6.40.310.091.40.06615280.994593.420.7107,1
6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7,6,6.40.360.212.20.04726480.996613.470.779.76,1
6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,6,6.40.360.532.20.2319350.99343.370.9312.46,1
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6,6.40.370.251.90.07421490.99743.570.629.86,1
6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6,6.40.380.142.20.03815250.995143.440.6511.16,1
6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,6,6.40.390.333.30.04612530.992943.360.6212.26,1
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,6.40.40.231.60.0665120.99583.340.569.25,1
6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6,6.40.420.092.30.05434640.997243.410.6810.46,1
6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,6,6.40.470.42.40.0718190.99633.560.7310.66,1
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,4,6.40.530.093.90.12314310.99683.50.67114,1
6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,6,6.40.560.151.80.07817650.992943.330.610.56,1
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,6.40.570.021.80.0674110.9973.460.689.55,2
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,6.40.570.021.80.0674110.9973.460.689.55,2
6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,7,6.40.570.122.30.1225360.995193.470.7111.37,1
6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5,6.40.570.143.90.0727730.996693.320.489.25,1
6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,5,6.40.630.211.60.0812320.996893.580.669.85,1
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,6.40.640.211.80.08114310.996893.590.669.85,3
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,6.40.640.211.80.08114310.996893.590.669.85,3
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,6.40.640.211.80.08114310.996893.590.669.85,3
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6,6.40.670.082.10.04519480.99493.490.4911.46,1
6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,6,6.40.6901.650.0557120.991623.470.5312.96,1
6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,6,6.40.790.042.20.06111170.995883.530.6510.46,1
6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,5,6.40.79502.20.06528520.993783.490.5211.65,1
6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,6,6.40.8650.033.20.07127580.9953.610.4912.76,1
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,6.40.88502.30.1666120.995513.560.5110.85,1
6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,6,6.50.340.272.80.0678440.993843.210.56126,1
6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,6,6.50.390.238.30.05128910.99523.440.5512.16,1
6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,6,6.50.40.120.07630470.995543.360.489.46,1
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,6.50.460.142.40.1149370.997323.660.659.85,2
